NMDS1,NMDS2,species
0.3,0.3,Abies balsamea
0.3,0.1,Alnus viridis
0.1,0.4,Betula cordifolia
-0.7,-0.6,Carex bigelowii
0.5,0.2,Chamaedaphne calyculata
0.5,0.05,Cornus canadensis
-0.4,-0.4,Diapensia lapponica
-0.9,-0.8,Polytrichum sp. 
0.8,0.8,Kalmia angustifolia
0.2,0.1,Kalmia polifolia
0.05,0.1,Picea mariana
0.1,0,Sibbaldiopsis tridentata
0.4,0.7,Sphagnum spp.
0.9,0.6,Spiraea alba
0.2,0.7,Trientalis borealis
0.4,-0.2,Vaccinium angustifolium 
0.2,-0.3,Vaccinium boreale
0.1,0.3,Vaccinium uliginosum
