Year,SO4,NO3,NH4,TOC
1994,18.34272,8.2956,3.78954,NA
1995,16.04352,8.40472,3.4443,NA
1996,9.28512,5.27744,2.0979,NA
1997,14.07312,8.61614,3.15036,NA
1998,16.38768,8.3328,3.6153,NA
1999,11.26032,7.80332,2.30094,NA
2000,8.74176,4.60474,2.0394,NA
2001,15.1008,7.83432,3.08808,NA
2002,12.36672,6.74932,3.19896,NA
2003,10.01088,6.85038,2.29266,NA
2004,6.39456,3.7913,1.62468,NA
2005,16.2816,7.16844,3.82968,NA
2006,8.18208,3.83098,2.03076,NA
2007,8.59872,3.50052,2.09736,NA
2008,6.01392,3.29778,1.71396,NA
2009,5.10432,2.97848,1.54134,3.149
2010,4.73856,2.92082,1.64304,3.7476
2011,3.92688,2.55378,1.39644,2.646
2012,4.76016,4.00024,1.97658,3.7841
2013,4.61808,3.56252,1.92222,3.1493
2014,3.88128,2.75466,1.5777,3.5826
2015,4.08144,4.25878,2.09412,4.2929
2016,1.97904,1.94742,1.04634,3.297
2017,1.968,2.17496,1.03068,3.1263
2018,2.42112,3.34118,2.76732,5.5493
2019,1.92912,2.61392,1.2942,3.9163
2020,1.72656,2.81976,1.4724,4.6326
2021,2.10336,2.60152,1.5129,7.439
2022,1.6536,2.41304,1.512,4.2326
